from,to,line,fare,time
大阪,天満,大阪環状線,170,2
天満,京橋,大阪環状線,170,4
京橋,大阪城公園,大阪環状線,170,2
大阪城公園,森ノ宮,大阪環状線,170,2
森ノ宮,鶴橋,大阪環状線,170,3
鶴橋,天王寺,大阪環状線,180,8
天王寺,新今宮,大阪環状線,170,2
新今宮,弁天町,大阪環状線,180,7
弁天町,西九条,大阪環状線,170,4
西九条,大阪,大阪環状線,170,5

大阪,新大阪,JR京都線,170,4
新大阪,茨木,JR京都線,230,10
茨木,高槻,JR京都線,230,8
高槻,長岡京,JR京都線,230,7
長岡京,京都,JR京都線,230,10

大阪,尼崎,JR神戸線,170,6
尼崎,西宮,JR神戸線,230,8
西宮,芦屋,JR神戸線,180,4
芦屋,三ノ宮,JR神戸線,230,12
三ノ宮,神戸,JR神戸線,170,4

大阪梅田,十三,阪急神戸線,170,3
十三,西宮北口,阪急神戸線,280,12
西宮北口,神戸三宮,阪急神戸線,280,15

大阪梅田,十三,阪急京都線,170,3
十三,淡路,阪急京都線,230,7
淡路,高槻市,阪急京都線,280,12
高槻市,京都河原町,阪急京都線,400,22

大阪難波,鶴橋,近鉄奈良線,230,3
鶴橋,布施,近鉄奈良線,230,5
布施,生駒,近鉄奈良線,510,18
生駒,学園前,近鉄奈良線,280,5
学園前,大和西大寺,近鉄奈良線,230,5
大和西大寺,近鉄奈良,近鉄奈良線,230,5

天王寺,堺市,阪和線,230,8
堺市,鳳,阪和線,230,8
鳳,和泉府中,阪和線,230,7

京都,山科,琵琶湖線,190,5
山科,大津,琵琶湖線,190,5
